student_id,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
1,19,Non-binary,1,Biology,641.25,0.0,657.52,551.48,103.47,59.3,14.17,51.54,50.43,3.98,19.88,51.99,Credit/Debit Card
2,24,Non-binary,4,Psychology,485.34,0.0,154.87,512.62,268.5,50.73,31.77,191.87,36.93,13.91,9.67,67.8,Credit/Debit Card
3,24,Male,4,Biology,1002.03,0.0,772.05,428.33,312.66,75.62,108.64,18.71,28.23,43.41,7.98,18.62,Cash
4,24,Non-binary,4,Law,1001.26,1135.12,427.64,244.28,152.08,113.35,100.72,125.73,23.69,109.37,16.34,30.36,Mobile Payment App
5,22,Female,2,Economics,480.7,0.0,174.08,291.95,152.29,37.15,142.01,176.51,35.17,98.32,39.56,73.16,Cash
6,20,Non-binary,2,Economics,986.0,819.64,347.06,413.06,322.41,56.94,40.7,199.53,50.76,13.64,4.71,8.77,Mobile Payment App
7,24,Female,4,Computer Science,848.74,303.49,878.31,537.35,83.1,90.68,105.44,112.02,31.35,96.14,11.16,34.78,Mobile Payment App
8,23,Male,3,Mechanical Engineering,733.83,1045.75,834.47,541.73,160.58,82.09,95.26,39.04,71.0,80.91,77.86,42.43,Cash
9,22,Non-binary,4,Economics,809.41,1347.25,329.59,258.39,233.19,23.27,112.47,165.04,88.24,79.91,12.58,52.78,Cash
10,22,Non-binary,4,Economics,785.06,551.05,667.4,470.83,187.73,85.53,62.28,180.93,46.12,37.19,6.4,1.68,Mobile Payment App
11,20,Female,2,Design,930.3,0.0,173.56,298.69,218.82,44.24,77.96,112.45,67.87,132.36,57.62,19.44,Cash
12,20,Male,2,Economics,784.04,0.0,415.72,335.0,313.24,20.69,101.48,132.77,14.85,109.23,80.06,8.74,Mobile Payment App
13,22,Female,4,Biology,493.21,0.0,206.54,513.61,311.11,25.28,101.3,112.71,11.18,13.99,75.36,18.91,Cash
14,21,Male,2,Psychology,733.8,0.0,151.62,325.69,330.16,97.44,49.93,142.35,68.44,117.5,66.19,38.93,Credit/Debit Card
15,21,Male,1,Mechanical Engineering,643.02,0.0,588.13,376.28,310.23,31.53,144.51,25.22,24.87,89.26,67.52,18.82,Credit/Debit Card
16,21,Male,1,Computer Science,572.29,0.0,587.75,385.25,332.37,36.45,110.27,55.35,41.66,100.75,30.0,25.29,Cash
17,19,Non-binary,1,Psychology,396.04,0.0,810.65,545.67,179.77,31.56,126.72,143.67,58.93,148.08,65.4,0.63,Mobile Payment App
18,19,Male,1,Computer Science,588.8,0.0,230.28,398.95,153.53,78.51,110.47,48.68,60.74,39.6,48.85,72.43,Mobile Payment App
19,23,Non-binary,4,Mechanical Engineering,840.64,0.0,346.47,483.55,228.95,59.91,11.35,24.3,80.65,135.59,54.56,66.77,Credit/Debit Card
20,22,Non-binary,4,Law,704.2,0.0,824.24,508.26,312.39,109.39,39.41,57.41,18.22,117.02,88.41,32.51,Credit/Debit Card
21,20,Female,2,Economics,1046.96,242.97,702.42,299.48,331.32,99.23,130.97,164.04,31.34,118.11,10.81,69.77,Credit/Debit Card
22,23,Non-binary,4,Psychology,590.21,0.0,803.49,250.32,258.21,56.84,49.0,23.19,71.87,52.67,50.94,54.36,Credit/Debit Card
23,20,Non-binary,1,Design,894.66,0.0,597.43,305.56,292.34,60.82,147.79,31.97,81.96,28.51,4.44,34.88,Mobile Payment App
24,21,Male,2,Economics,1158.0,248.4,648.18,298.59,164.76,104.04,110.77,67.06,34.74,61.26,40.24,23.65,Cash
25,24,Non-binary,4,Economics,648.41,460.19,560.95,150.18,157.47,60.14,91.2,134.39,47.2,66.32,21.37,37.85,Mobile Payment App
26,20,Male,1,Biology,513.97,532.77,614.45,192.02,337.04,39.66,53.46,163.25,21.79,6.93,98.39,48.9,Cash
27,22,Male,2,Biology,565.03,0.0,665.72,551.7,312.32,107.97,118.98,51.58,74.33,104.39,46.45,44.59,Credit/Debit Card
28,24,Female,4,Biology,407.53,597.58,596.59,577.52,320.68,79.33,110.7,105.91,76.45,82.18,89.72,59.49,Cash
29,22,Male,2,Biology,584.85,315.21,355.95,184.87,157.15,43.53,54.76,112.63,21.07,34.69,69.39,56.51,Cash
30,23,Female,3,Design,1025.91,289.89,305.13,339.06,324.31,76.33,107.37,172.78,71.25,57.06,0.59,28.14,Cash
31,21,Male,2,Law,694.95,0.0,651.66,509.16,275.53,103.25,138.74,196.34,52.73,136.04,59.19,53.04,Cash
32,21,Non-binary,2,Computer Science,881.06,0.0,434.33,245.25,168.25,94.93,63.08,152.88,76.55,37.84,8.19,1.55,Cash
33,22,Male,2,Mechanical Engineering,1151.92,0.0,862.21,239.71,85.5,31.0,27.67,137.2,55.12,32.69,69.95,61.35,Mobile Payment App
34,19,Female,1,Design,880.89,0.0,169.26,290.38,262.88,115.61,65.53,145.85,16.08,103.59,62.72,8.15,Mobile Payment App
35,21,Male,1,Law,691.37,319.38,201.72,441.39,83.42,59.11,78.63,92.37,38.98,133.74,45.97,12.24,Mobile Payment App
36,23,Non-binary,3,Mechanical Engineering,451.07,1401.42,730.98,359.19,302.95,77.21,55.12,56.64,84.77,41.84,45.08,60.04,Mobile Payment App
37,23,Non-binary,4,Design,1072.29,0.0,416.12,266.26,155.51,77.6,133.22,115.6,51.33,28.66,24.14,32.51,Credit/Debit Card
38,24,Female,4,Psychology,726.99,797.06,744.7,191.87,139.83,87.64,52.87,120.5,47.86,79.64,42.55,59.67,Mobile Payment App
39,23,Male,4,Design,594.52,701.63,239.67,391.14,285.79,34.44,40.29,102.0,67.97,146.49,52.46,22.64,Credit/Debit Card
40,21,Non-binary,3,Psychology,799.3,0.0,160.61,390.36,154.06,117.3,87.47,142.51,20.1,130.27,49.09,69.82,Cash
41,23,Male,4,Mechanical Engineering,341.97,0.0,508.3,519.95,188.19,22.78,98.12,20.19,21.94,84.43,30.38,79.51,Cash
42,22,Non-binary,2,Computer Science,1130.64,294.06,482.04,537.07,347.31,47.06,96.94,125.83,69.21,142.14,20.78,16.88,Credit/Debit Card
43,20,Non-binary,2,Design,528.42,294.06,595.36,281.07,142.5,89.23,108.42,96.27,64.99,138.59,78.78,50.0,Credit/Debit Card
44,22,Female,4,Law,608.81,444.96,261.74,269.53,118.4,21.26,120.97,123.06,75.94,138.18,43.92,37.5,Cash
45,23,Female,3,Mechanical Engineering,421.32,407.97,474.02,295.04,147.6,24.59,144.67,168.83,56.02,142.62,99.96,53.78,Credit/Debit Card
46,21,Female,2,Biology,591.31,530.3,837.05,231.67,238.04,81.65,78.84,27.34,37.84,50.0,67.01,68.62,Mobile Payment App
47,23,Male,4,Mechanical Engineering,533.83,1224.05,491.12,291.53,167.28,116.87,66.58,107.77,89.05,98.65,54.26,33.06,Cash
48,24,Non-binary,4,Computer Science,460.2,331.2,302.67,397.15,330.47,61.0,107.76,33.07,87.85,91.33,23.93,12.67,Mobile Payment App
49,22,Female,4,Economics,716.83,0.0,238.1,524.46,214.56,90.24,81.24,61.95,76.78,147.04,24.37,44.1,Mobile Payment App
50,20,Female,2,Mechanical Engineering,1066.87,0.0,790.81,302.94,292.68,43.05,10.36,147.95,77.0,86.99,65.99,69.22,Cash
51,22,Non-binary,3,Design,389.04,351.94,802.2,591.35,144.48,55.21,129.84,88.05,35.45,70.95,91.34,30.5,Mobile Payment App
52,21,Male,2,Biology,561.72,0.0,874.02,299.4,107.1,103.73,23.96,182.98,11.23,21.62,87.09,77.6,Cash
53,23,Female,3,Economics,537.73,1117.71,655.77,390.13,337.62,80.81,134.24,102.71,53.28,92.62,23.48,54.75,Mobile Payment App
54,20,Female,1,Mechanical Engineering,351.72,0.0,677.92,195.23,124.92,46.44,14.05,71.63,14.49,53.77,43.07,19.54,Mobile Payment App
55,20,Male,2,Computer Science,786.85,314.37,330.62,560.77,118.64,63.42,45.56,58.51,10.75,120.69,90.12,54.21,Cash
56,23,Female,3,Computer Science,918.87,0.0,468.23,262.54,308.23,35.92,63.86,101.81,28.98,85.79,57.48,79.42,Mobile Payment App
